1 1 1 1 1 1 , Epoch:13, Support: 936
1 1 1 1 1 1 1 , Epoch:8, Support: 252
1 1 1 1 1 1 1 1 , Epoch:21, Support: 120
2 2 2 2 , Epoch:10, Support: 280
2 2 2 2 2 2 , Epoch:11, Support: 200
2 2 2 2 2 2 2 , Epoch:5, Support: 1696
2 2 2 2 2 2 2 2 2 2 , Epoch:17, Support: 99
3 3 3 2 2 2 2 2 2 2 , Epoch:2, Support: 20
3 3 3 2 2 2 2 3 2 2 , Epoch:2, Support: 20
3 3 3 2 2 2 3 2 2 2 , Epoch:2, Support: 20
3 3 3 2 2 2 3 3 2 2 , Epoch:2, Support: 20
3 3 3 2 2 3 2 2 2 2 , Epoch:2, Support: 20
3 3 3 2 2 3 2 3 2 2 , Epoch:2, Support: 20
3 3 3 2 2 3 3 2 2 2 , Epoch:2, Support: 20
3 3 3 2 2 3 3 3 2 2 , Epoch:2, Support: 20
3 3 3 2 3 2 2 2 2 2 , Epoch:2, Support: 20
3 3 3 2 3 2 2 3 2 2 , Epoch:2, Support: 20
3 3 3 2 3 2 3 2 2 2 , Epoch:2, Support: 20
3 3 3 2 3 2 3 3 2 2 , Epoch:2, Support: 20
3 3 3 2 3 3 2 2 2 2 , Epoch:2, Support: 20
3 3 3 2 3 3 2 3 2 2 , Epoch:2, Support: 20
3 3 3 2 3 3 3 2 2 2 , Epoch:2, Support: 20
3 3 3 3 , Epoch:1, Support: 1288
3 3 3 3 2 2 2 2 2 2 , Epoch:2, Support: 20
3 3 3 3 2 2 2 3 2 2 , Epoch:2, Support: 20
3 3 3 3 2 2 3 2 2 2 , Epoch:2, Support: 20
3 3 3 3 2 2 3 3 2 2 , Epoch:2, Support: 20
3 3 3 3 2 3 2 2 2 2 , Epoch:2, Support: 20
3 3 3 3 2 3 2 3 2 2 , Epoch:2, Support: 20
3 3 3 3 2 3 3 2 2 2 , Epoch:2, Support: 20
3 3 3 3 2 3 3 3 2 2 , Epoch:2, Support: 20
3 3 3 3 3 2 2 2 2 2 , Epoch:2, Support: 20
3 3 3 3 3 2 2 3 2 2 , Epoch:2, Support: 20
3 3 3 3 3 2 3 2 2 2 , Epoch:2, Support: 20
3 3 3 3 3 2 3 3 2 2 , Epoch:2, Support: 20
3 3 3 3 3 3 2 2 2 2 , Epoch:2, Support: 20
3 3 3 3 3 3 2 3 2 2 , Epoch:2, Support: 20
3 3 3 3 3 3 3 2 2 2 , Epoch:2, Support: 20
3 3 3 3 3 3 3 3 , Epoch:16, Support: 42
3 3 3 3 3 3 3 3 2 2 , Epoch:2, Support: 20
3 3 3 3 3 3 3 3 3 3 , Epoch:9, Support: 200
4 4 4 , Epoch:0, Support: 195
4 4 4 , Epoch:27, Support: 164
4 8 8 8 8 8 , Epoch:24, Support: 6
4 8 8 8 8 8 8 , Epoch:23, Support: 6
5 5 5 2 2 , Epoch:7, Support: 5
5 5 5 2 5 , Epoch:7, Support: 5
5 5 5 5 , Epoch:6, Support: 258
5 5 5 5 2 , Epoch:7, Support: 5
5 5 5 5 5 , Epoch:7, Support: 1344
5 5 5 5 5 , Epoch:22, Support: 2052
7 7 7 7 7 7 , Epoch:4, Support: 902
8 4 4 8 8 8 , Epoch:24, Support: 6
8 4 8 8 8 8 , Epoch:24, Support: 6
8 8 4 8 8 8 , Epoch:24, Support: 6
8 8 8 8 , Epoch:26, Support: 1001
8 8 8 8 8 8 , Epoch:24, Support: 945
8 8 8 8 8 8 8 , Epoch:12, Support: 874
9 9 9 9 , Epoch:25, Support: 161
9 9 9 9 9 9 , Epoch:15, Support: 1334
10 10 10 10 10 10 10 10 10 , Epoch:14, Support: 186
10 10 10 10 10 10 10 10 10 , Epoch:18, Support: 400
