2 2 2 2 2 , Epoch:5, Support: 1624
3 3 3 3 3 3 , Epoch:4, Support: 2107
4 4 3 3 3 3 3 3 , Epoch:2, Support: 5
4 4 3 3 4 3 3 3 , Epoch:2, Support: 5
4 4 3 4 3 3 3 3 , Epoch:2, Support: 5
4 4 3 4 4 3 3 3 , Epoch:2, Support: 5
4 4 4 3 3 3 3 3 , Epoch:2, Support: 5
4 4 4 3 4 3 3 3 , Epoch:2, Support: 5
4 4 4 4 , Epoch:6, Support: 608
4 4 4 4 3 3 3 3 , Epoch:2, Support: 5
4 4 4 4 4 3 3 3 , Epoch:2, Support: 5
4 10 10 10 , Epoch:6, Support: 5
5 5 4 4 4 4 4 5 , Epoch:0, Support: 10
5 5 4 4 4 4 5 5 , Epoch:0, Support: 10
5 5 4 4 4 5 4 5 , Epoch:0, Support: 10
5 5 4 4 4 5 5 5 , Epoch:0, Support: 10
5 5 4 4 5 4 4 5 , Epoch:0, Support: 10
5 5 4 4 5 4 5 5 , Epoch:0, Support: 10
5 5 4 4 5 5 5 5 , Epoch:0, Support: 10
5 5 4 5 4 4 4 5 , Epoch:0, Support: 10
5 5 4 5 4 4 5 5 , Epoch:0, Support: 10
5 5 4 5 4 5 4 5 , Epoch:0, Support: 10
5 5 4 5 4 5 5 5 , Epoch:0, Support: 10
5 5 4 5 5 4 4 5 , Epoch:0, Support: 10
5 5 4 5 5 4 5 5 , Epoch:0, Support: 10
5 5 4 5 5 5 5 5 , Epoch:0, Support: 10
5 5 5 4 4 4 4 5 , Epoch:0, Support: 10
5 5 5 4 4 4 5 5 , Epoch:0, Support: 10
5 5 5 4 4 5 4 5 , Epoch:0, Support: 10
5 5 5 4 4 5 5 5 , Epoch:0, Support: 10
5 5 5 4 5 4 4 5 , Epoch:0, Support: 10
5 5 5 4 5 4 5 5 , Epoch:0, Support: 10
5 5 5 4 5 5 4 5 , Epoch:0, Support: 10
5 5 5 4 5 5 5 5 , Epoch:0, Support: 10
5 5 5 5 3 3 3 3 3 3 , Epoch:0, Support: 6
5 5 5 5 3 3 3 5 3 3 , Epoch:0, Support: 6
5 5 5 5 3 3 5 3 3 3 , Epoch:0, Support: 6
5 5 5 5 3 3 5 5 3 3 , Epoch:0, Support: 6
5 5 5 5 3 5 3 3 3 3 , Epoch:0, Support: 6
5 5 5 5 3 5 3 5 3 3 , Epoch:0, Support: 6
5 5 5 5 3 5 5 3 3 3 , Epoch:0, Support: 6
5 5 5 5 3 5 5 5 3 3 , Epoch:0, Support: 6
5 5 5 5 4 4 4 5 , Epoch:0, Support: 10
5 5 5 5 4 4 5 5 , Epoch:0, Support: 10
5 5 5 5 4 5 4 5 , Epoch:0, Support: 10
5 5 5 5 4 5 5 5 , Epoch:0, Support: 10
5 5 5 5 5 2 2 2 2 2 , Epoch:0, Support: 17
5 5 5 5 5 2 2 5 2 2 , Epoch:0, Support: 17
5 5 5 5 5 2 5 2 2 2 , Epoch:0, Support: 17
5 5 5 5 5 2 5 5 2 2 , Epoch:0, Support: 17
5 5 5 5 5 3 3 3 3 3 , Epoch:0, Support: 6
5 5 5 5 5 3 3 5 3 3 , Epoch:0, Support: 6
5 5 5 5 5 3 5 3 3 3 , Epoch:0, Support: 6
5 5 5 5 5 3 5 5 3 3 , Epoch:0, Support: 6
5 5 5 5 5 4 4 5 , Epoch:0, Support: 10
5 5 5 5 5 4 5 5 , Epoch:0, Support: 10
5 5 5 5 5 5 2 2 2 2 , Epoch:0, Support: 17
5 5 5 5 5 5 2 5 2 2 , Epoch:0, Support: 17
5 5 5 5 5 5 3 3 3 3 , Epoch:0, Support: 6
5 5 5 5 5 5 3 5 3 3 , Epoch:0, Support: 6
5 5 5 5 5 5 4 5 , Epoch:0, Support: 10
5 5 5 5 5 5 5 2 2 2 , Epoch:0, Support: 17
5 5 5 5 5 5 5 3 3 3 , Epoch:0, Support: 6
5 5 5 5 5 5 5 5 2 2 , Epoch:0, Support: 41
5 5 5 5 5 5 5 5 3 3 , Epoch:0, Support: 6
9 3 3 3 3 3 3 , Epoch:3, Support: 20
9 3 3 9 3 3 3 , Epoch:3, Support: 20
9 3 9 3 3 3 3 , Epoch:3, Support: 20
9 4 4 4 4 4 9 9 , Epoch:1, Support: 18
9 4 4 4 4 9 9 9 , Epoch:1, Support: 18
9 4 4 4 9 9 9 9 , Epoch:1, Support: 18
9 4 4 9 9 9 9 9 , Epoch:1, Support: 18
9 4 9 4 4 4 9 9 , Epoch:1, Support: 18
9 4 9 4 4 9 9 9 , Epoch:1, Support: 18
9 4 9 9 9 9 9 9 , Epoch:1, Support: 18
9 5 5 5 5 , Epoch:3, Support: 22
9 5 5 9 5 , Epoch:3, Support: 22
9 5 9 5 5 , Epoch:3, Support: 22
9 9 2 2 2 2 2 , Epoch:3, Support: 36
9 9 2 9 2 2 2 , Epoch:3, Support: 36
9 9 3 3 3 3 3 , Epoch:3, Support: 20
9 9 3 9 3 3 3 , Epoch:3, Support: 20
9 9 4 4 4 4 9 9 , Epoch:1, Support: 18
9 9 4 4 4 9 9 9 , Epoch:1, Support: 18
9 9 4 4 9 4 9 9 , Epoch:1, Support: 18
9 9 4 4 9 9 9 9 , Epoch:1, Support: 18
9 9 4 9 4 4 9 9 , Epoch:1, Support: 18
9 9 4 9 4 9 9 9 , Epoch:1, Support: 18
9 9 4 9 9 4 9 9 , Epoch:1, Support: 18
9 9 4 9 9 9 9 9 , Epoch:1, Support: 18
9 9 5 5 5 , Epoch:3, Support: 22
9 9 5 9 5 , Epoch:3, Support: 22
9 9 9 2 2 2 2 , Epoch:3, Support: 36
9 9 9 3 3 3 3 , Epoch:3, Support: 20
9 9 9 3 3 3 3 3 3 , Epoch:1, Support: 8
9 9 9 3 3 3 3 9 3 , Epoch:1, Support: 8
9 9 9 3 3 3 9 3 3 , Epoch:1, Support: 8
9 9 9 3 3 3 9 9 3 , Epoch:1, Support: 8
9 9 9 3 3 9 3 3 3 , Epoch:1, Support: 8
9 9 9 3 3 9 3 9 3 , Epoch:1, Support: 8
9 9 9 3 3 9 9 3 3 , Epoch:1, Support: 8
9 9 9 3 3 9 9 9 3 , Epoch:1, Support: 8
9 9 9 3 9 3 3 3 3 , Epoch:1, Support: 8
9 9 9 3 9 3 3 9 3 , Epoch:1, Support: 8
9 9 9 3 9 3 9 3 3 , Epoch:1, Support: 8
9 9 9 3 9 3 9 9 3 , Epoch:1, Support: 8
9 9 9 3 9 9 3 3 3 , Epoch:1, Support: 8
9 9 9 3 9 9 3 9 3 , Epoch:1, Support: 8
9 9 9 3 9 9 9 3 3 , Epoch:1, Support: 8
9 9 9 4 4 4 4 , Epoch:3, Support: 7
9 9 9 4 4 4 9 9 , Epoch:1, Support: 18
9 9 9 4 4 9 9 9 , Epoch:1, Support: 18
9 9 9 4 9 4 9 9 , Epoch:1, Support: 18
