6 6 6 6 2 6 2 6 , Epoch:2, Support: 4
6 6 6 6 2 6 6 2 , Epoch:2, Support: 4
6 6 6 6 2 6 6 6 , Epoch:2, Support: 4
6 6 6 6 5 5 5 5 , Epoch:2, Support: 13
6 6 6 6 5 5 5 6 , Epoch:2, Support: 13
6 6 6 6 5 5 6 5 , Epoch:2, Support: 13
6 6 6 6 5 5 6 6 , Epoch:2, Support: 13
6 6 6 6 5 6 5 5 , Epoch:2, Support: 13
6 6 6 6 5 6 5 6 , Epoch:2, Support: 13
6 6 6 6 5 6 6 5 , Epoch:2, Support: 13
6 6 6 6 5 6 6 6 , Epoch:2, Support: 13
6 6 6 6 6 2 2 2 , Epoch:2, Support: 4
6 6 6 6 6 2 2 6 , Epoch:2, Support: 4
6 6 6 6 6 2 6 2 , Epoch:2, Support: 4
6 6 6 6 6 2 6 6 , Epoch:2, Support: 4
6 6 6 6 6 5 5 5 , Epoch:2, Support: 13
6 6 6 6 6 5 5 6 , Epoch:2, Support: 13
6 6 6 6 6 5 6 5 , Epoch:2, Support: 13
6 6 6 6 6 5 6 6 , Epoch:2, Support: 13
6 6 6 6 6 6 2 2 , Epoch:2, Support: 4
6 6 6 6 6 6 2 6 , Epoch:2, Support: 4
6 6 6 6 6 6 5 5 , Epoch:2, Support: 13
6 6 6 6 6 6 5 6 , Epoch:2, Support: 13
6 6 6 6 6 6 6 2 , Epoch:2, Support: 4
6 6 6 6 6 6 6 5 , Epoch:2, Support: 13
6 6 6 6 6 6 6 6 , Epoch:2, Support: 4080
6 6 9 , Epoch:7, Support: 24
6 9 6 , Epoch:7, Support: 24
6 9 9 , Epoch:7, Support: 24
6 9 9 9 , Epoch:6, Support: 5
7 7 7 , Epoch:0, Support: 369
9 3 3 , Epoch:7, Support: 5
9 3 9 , Epoch:7, Support: 5
9 6 6 , Epoch:7, Support: 14
9 6 6 6 6 6 6 6 6 , Epoch:1, Support: 9
9 6 6 6 6 6 9 6 6 , Epoch:1, Support: 9
9 6 6 6 6 9 6 6 6 , Epoch:1, Support: 9
9 6 6 6 9 6 6 6 6 , Epoch:1, Support: 9
9 6 6 9 6 6 6 6 6 , Epoch:1, Support: 9
9 6 6 9 6 6 9 6 6 , Epoch:1, Support: 9
9 6 9 , Epoch:7, Support: 5
9 6 9 6 6 6 6 6 6 , Epoch:1, Support: 9
9 6 9 6 6 6 9 6 6 , Epoch:1, Support: 9
9 6 9 6 6 9 6 6 6 , Epoch:1, Support: 9
9 6 9 6 9 6 6 6 6 , Epoch:1, Support: 9
9 6 9 6 9 6 9 6 6 , Epoch:1, Support: 9
9 9 2 , Epoch:7, Support: 10
9 9 3 , Epoch:7, Support: 5
9 9 6 , Epoch:7, Support: 5
9 9 6 6 6 6 6 6 6 , Epoch:1, Support: 9
9 9 6 6 6 6 9 6 6 , Epoch:1, Support: 9
9 9 6 6 6 9 6 6 6 , Epoch:1, Support: 9
9 9 6 6 6 9 9 6 6 , Epoch:1, Support: 9
9 9 6 6 9 6 6 6 6 , Epoch:1, Support: 9
9 9 6 6 9 6 9 6 6 , Epoch:1, Support: 9
9 9 6 6 9 9 6 6 6 , Epoch:1, Support: 9
9 9 6 9 6 6 6 6 6 , Epoch:1, Support: 9
9 9 6 9 6 6 9 6 6 , Epoch:1, Support: 9
9 9 6 9 6 9 6 6 6 , Epoch:1, Support: 9
9 9 6 9 6 9 9 6 6 , Epoch:1, Support: 9
9 9 6 9 9 6 6 6 6 , Epoch:1, Support: 9
9 9 6 9 9 6 9 6 6 , Epoch:1, Support: 9
9 9 9 , Epoch:7, Support: 1566
9 9 9 6 6 6 6 6 6 , Epoch:1, Support: 9
9 9 9 6 6 6 9 6 6 , Epoch:1, Support: 9
9 9 9 6 6 9 6 6 6 , Epoch:1, Support: 9
9 9 9 6 6 9 9 6 6 , Epoch:1, Support: 9
9 9 9 6 9 6 6 6 6 , Epoch:1, Support: 9
9 9 9 6 9 6 9 6 6 , Epoch:1, Support: 9
9 9 9 6 9 9 6 6 6 , Epoch:1, Support: 9
9 9 9 6 9 9 9 6 6 , Epoch:1, Support: 9
9 9 9 9 6 6 6 6 6 , Epoch:1, Support: 9
9 9 9 9 6 6 9 6 6 , Epoch:1, Support: 9
9 9 9 9 6 9 6 6 6 , Epoch:1, Support: 9
9 9 9 9 6 9 9 6 6 , Epoch:1, Support: 9
9 9 9 9 9 6 6 6 6 , Epoch:1, Support: 9
9 9 9 9 9 6 9 6 6 , Epoch:1, Support: 9
9 9 9 9 9 9 6 6 6 , Epoch:1, Support: 9
9 9 9 9 9 9 9 6 6 , Epoch:1, Support: 9
9 9 9 9 9 9 9 9 9 , Epoch:1, Support: 13
10 6 6 6 6 6 , Epoch:4, Support: 12
10 6 6 10 6 6 , Epoch:4, Support: 12
10 6 10 6 6 6 , Epoch:4, Support: 12
10 10 6 6 6 6 , Epoch:4, Support: 12
10 10 6 10 6 6 , Epoch:4, Support: 12
10 10 10 6 6 6 , Epoch:4, Support: 12
10 10 10 10 6 6 , Epoch:4, Support: 12
