7 7 7, Epoch:2, Support: 369
9 9 9 9 9 9 9, Epoch:7, Support: 2732
9 6 9 6 9 6 9, Epoch:7, Support: 4
10 10 10 10, Epoch:7, Support: 781
6 6 10 6 6 10, Epoch:7, Support: 6
6 5 6 6 6, Epoch:9, Support: 7
9 9 9 9 9 9 9 9 9, Epoch:9, Support: 13
9 6 9 6 9 6 6 6, Epoch:9, Support: 4
6 6 6 6 6 6 9 6, Epoch:9, Support: 11
9 9 9, Epoch:9, Support: 1537
3 5 5 5, Epoch:9, Support: 5
3 9 9 9, Epoch:9, Support: 4
6 6 6 6 6 6 6 9, Epoch:9, Support: 10
5 5 5 5 2, Epoch:9, Support: 13
3 3 3 3, Epoch:9, Support: 685
6 6 6 5 6 5 5 5, Epoch:9, Support: 7
6 6 6 6 6 6 6 6, Epoch:9, Support: 4020
5 5 3 3 3, Epoch:9, Support: 5
6 10 10 6 6 6, Epoch:9, Support: 6
2 2 2 2 2 2 2, Epoch:9, Support: 961
3 3 3, Epoch:9, Support: 4
5 5 5 5 5, Epoch:9, Support: 2310
9 9 2, Epoch:9, Support: 4
