1 4 4 4 4 4 , Epoch:3, Support: 24
1 5 5 5 5 5 , Epoch:3, Support: 10
1 5 5 5 5 5 5 , Epoch:2, Support: 10
2 2 2 2 2 , Epoch:5, Support: 3380
2 2 10 , Epoch:7, Support: 22
2 10 2 , Epoch:7, Support: 22
2 10 10 , Epoch:7, Support: 22
2 10 10 2 , Epoch:6, Support: 17
2 10 10 10 , Epoch:6, Support: 17
3 3 3 2 2 2 2 2 , Epoch:2, Support: 36
3 3 3 2 2 2 2 3 , Epoch:2, Support: 36
3 3 3 2 2 2 3 2 , Epoch:2, Support: 36
3 3 3 2 2 2 3 3 , Epoch:2, Support: 36
3 3 3 2 2 3 2 2 , Epoch:2, Support: 36
3 3 3 2 2 3 2 3 , Epoch:2, Support: 36
3 3 3 2 2 3 3 2 , Epoch:2, Support: 36
3 3 3 2 2 3 3 3 , Epoch:2, Support: 36
3 3 3 2 3 2 2 2 , Epoch:2, Support: 36
3 3 3 2 3 2 2 3 , Epoch:2, Support: 36
3 3 3 2 3 2 3 2 , Epoch:2, Support: 36
3 3 3 2 3 2 3 3 , Epoch:2, Support: 36
3 3 3 2 3 3 2 2 , Epoch:2, Support: 36
3 3 3 2 3 3 2 3 , Epoch:2, Support: 36
3 3 3 2 3 3 3 2 , Epoch:2, Support: 36
3 3 3 2 3 3 3 3 , Epoch:2, Support: 36
3 3 3 3 2 2 2 2 , Epoch:2, Support: 36
3 3 3 3 2 2 2 3 , Epoch:2, Support: 36
3 3 3 3 2 2 3 2 , Epoch:2, Support: 36
3 3 3 3 2 2 3 3 , Epoch:2, Support: 36
3 3 3 3 2 3 2 2 , Epoch:2, Support: 36
3 3 3 3 2 3 2 3 , Epoch:2, Support: 36
3 3 3 3 2 3 3 2 , Epoch:2, Support: 36
3 3 3 3 2 3 3 3 , Epoch:2, Support: 36
3 3 3 3 3 2 2 2 , Epoch:2, Support: 36
3 3 3 3 3 2 2 3 , Epoch:2, Support: 36
3 3 3 3 3 2 3 2 , Epoch:2, Support: 36
3 3 3 3 3 2 3 3 , Epoch:2, Support: 36
3 3 3 3 3 3 2 2 , Epoch:2, Support: 36
3 3 3 3 3 3 2 3 , Epoch:2, Support: 36
3 3 3 3 3 3 3 2 , Epoch:2, Support: 36
3 3 3 3 3 3 3 3 , Epoch:2, Support: 5735
3 3 10 , Epoch:7, Support: 6
3 10 3 , Epoch:7, Support: 6
3 10 10 , Epoch:7, Support: 6
4 2 2 2 2 2 , Epoch:4, Support: 17
4 2 2 2 4 2 , Epoch:4, Support: 17
4 2 2 4 2 2 , Epoch:4, Support: 17
4 2 4 2 2 2 , Epoch:4, Support: 17
4 2 4 2 4 2 , Epoch:4, Support: 17
4 3 3 3 3 3 , Epoch:4, Support: 96
4 3 3 3 4 3 , Epoch:4, Support: 96
4 3 3 4 3 3 , Epoch:4, Support: 96
4 3 4 3 3 3 , Epoch:4, Support: 96
4 3 4 3 4 3 , Epoch:4, Support: 96
4 4 2 2 2 2 , Epoch:4, Support: 17
4 4 2 2 4 2 , Epoch:4, Support: 17
4 4 2 4 2 2 , Epoch:4, Support: 17
4 4 2 4 4 2 , Epoch:4, Support: 17
4 4 3 3 3 3 , Epoch:4, Support: 96
4 4 3 3 4 3 , Epoch:4, Support: 96
4 4 3 4 3 3 , Epoch:4, Support: 96
4 4 3 4 4 3 , Epoch:4, Support: 96
4 4 4 2 2 2 , Epoch:4, Support: 17
4 4 4 2 4 2 , Epoch:4, Support: 17
4 4 4 3 3 3 , Epoch:4, Support: 96
4 4 4 3 4 3 , Epoch:4, Support: 96
4 4 4 4 2 2 , Epoch:4, Support: 17
4 4 4 4 3 3 , Epoch:4, Support: 96
4 4 4 4 4 2 , Epoch:4, Support: 17
4 4 4 4 4 3 , Epoch:4, Support: 96
4 4 8 , Epoch:6, Support: 25
4 4 10 , Epoch:7, Support: 36
4 8 4 , Epoch:6, Support: 25
4 8 8 , Epoch:6, Support: 25
4 8 8 8 , Epoch:5, Support: 25
4 10 10 , Epoch:7, Support: 36
4 10 10 10 , Epoch:6, Support: 26
5 3 3 3 3 3 3 , Epoch:3, Support: 4
5 3 3 3 3 5 3 , Epoch:3, Support: 4
5 3 3 3 5 3 3 , Epoch:3, Support: 4
5 3 3 5 3 3 3 , Epoch:3, Support: 4
5 3 5 3 3 3 3 , Epoch:3, Support: 4
5 3 5 3 3 5 3 , Epoch:3, Support: 4
5 3 5 3 5 3 3 , Epoch:3, Support: 4
5 4 4 4 4 4 , Epoch:3, Support: 12
5 4 4 4 4 5 , Epoch:3, Support: 12
5 4 4 4 5 4 , Epoch:3, Support: 12
5 4 4 4 5 5 , Epoch:3, Support: 12
5 4 4 5 4 4 , Epoch:3, Support: 12
5 4 4 5 5 5 , Epoch:3, Support: 12
5 4 5 4 4 4 , Epoch:3, Support: 12
5 4 5 4 4 5 , Epoch:3, Support: 12
5 4 5 4 5 4 , Epoch:3, Support: 12
5 4 5 5 5 5 , Epoch:3, Support: 12
5 5 2 2 2 2 2 , Epoch:3, Support: 5
5 5 2 2 2 5 2 , Epoch:3, Support: 5
5 5 2 2 5 2 2 , Epoch:3, Support: 5
5 5 2 2 5 5 2 , Epoch:3, Support: 5
5 5 2 5 2 2 2 , Epoch:3, Support: 5
5 5 2 5 2 5 2 , Epoch:3, Support: 5
5 5 2 5 5 2 2 , Epoch:3, Support: 5
5 5 3 3 3 3 3 , Epoch:3, Support: 4
5 5 3 3 3 5 3 , Epoch:3, Support: 4
5 5 3 3 5 3 3 , Epoch:3, Support: 4
5 5 3 3 5 5 3 , Epoch:3, Support: 4
5 5 3 5 3 3 3 , Epoch:3, Support: 4
5 5 3 5 3 5 3 , Epoch:3, Support: 4
5 5 3 5 5 3 3 , Epoch:3, Support: 4
5 5 4 4 4 4 , Epoch:3, Support: 12
5 5 4 4 4 5 , Epoch:3, Support: 12
5 5 4 4 5 4 , Epoch:3, Support: 12
5 5 4 4 5 5 , Epoch:3, Support: 12
5 5 4 5 4 4 , Epoch:3, Support: 12
5 5 4 5 4 5 , Epoch:3, Support: 12
5 5 4 5 5 4 , Epoch:3, Support: 12
5 5 4 5 5 5 , Epoch:3, Support: 12
5 5 5 2 2 2 2 , Epoch:3, Support: 5
5 5 5 2 2 5 2 , Epoch:3, Support: 5
5 5 5 2 5 2 2 , Epoch:3, Support: 5
5 5 5 2 5 5 2 , Epoch:3, Support: 5
5 5 5 3 3 3 3 , Epoch:3, Support: 4
5 5 5 3 3 5 3 , Epoch:3, Support: 4
5 5 5 3 5 3 3 , Epoch:3, Support: 4
5 5 5 3 5 5 3 , Epoch:3, Support: 4
5 5 5 4 4 4 , Epoch:3, Support: 12
5 5 5 4 4 5 , Epoch:3, Support: 12
5 5 5 4 5 4 , Epoch:3, Support: 12
5 5 5 4 5 5 , Epoch:3, Support: 12
5 5 5 5 2 2 2 , Epoch:3, Support: 5
5 5 5 5 2 5 2 , Epoch:3, Support: 5
5 5 5 5 3 3 3 , Epoch:3, Support: 4
5 5 5 5 3 5 3 , Epoch:3, Support: 4
5 5 5 5 4 4 , Epoch:3, Support: 12
5 5 5 5 4 5 , Epoch:3, Support: 12
5 5 5 5 5 2 2 , Epoch:3, Support: 5
5 5 5 5 5 3 3 , Epoch:3, Support: 4
5 5 5 5 5 4 , Epoch:3, Support: 12
5 5 5 5 5 5 2 , Epoch:3, Support: 5
5 5 5 5 5 5 3 , Epoch:3, Support: 4
5 5 8 , Epoch:6, Support: 5
5 5 10 , Epoch:7, Support: 9
5 8 5 , Epoch:6, Support: 5
5 8 8 , Epoch:6, Support: 5
5 8 8 8 , Epoch:5, Support: 5
5 10 10 , Epoch:7, Support: 9
5 10 10 10 , Epoch:6, Support: 9
8 3 3 3 , Epoch:6, Support: 25
8 3 8 3 , Epoch:6, Support: 25
8 4 4 , Epoch:6, Support: 25
8 4 8 , Epoch:6, Support: 25
8 5 5 , Epoch:6, Support: 5
8 5 8 , Epoch:6, Support: 5
8 8 3 3 , Epoch:6, Support: 25
8 8 4 , Epoch:6, Support: 25
8 8 5 , Epoch:6, Support: 5
8 8 8 3 , Epoch:6, Support: 25
