1 3 1, Epoch:3, Support: 4
1 1 1 1, Epoch:3, Support: 3560
1 1 3 3, Epoch:3, Support: 4
1 1 1 4 4 4 4, Epoch:6, Support: 12
4 4 4 4 4, Epoch:6, Support: 1885
1 3 1 3 3 3 3, Epoch:6, Support: 4
3 1 1 3 3 3, Epoch:6, Support: 4
3 3 3 3 3 3, Epoch:6, Support: 966
1 1 4 4 4 4 4, Epoch:6, Support: 16
1 1 1 1 1 1, Epoch:9, Support: 945
7 7 7 7 7, Epoch:9, Support: 2623
7 9 7 9 7, Epoch:9, Support: 4
8 8 8 8 8 8 8, Epoch:9, Support: 794
9 7 9 7, Epoch:9, Support: 6
7 7 7, Epoch:9, Support: 277
9 9 9 9, Epoch:9, Support: 2038
1 1 7 1 7, Epoch:9, Support: 11
7 7 9 7 9, Epoch:9, Support: 6
8 8 8 8 8, Epoch:9, Support: 4
7 9 7 9, Epoch:9, Support: 4
1 1 1 1 1 1 1 1 1 1, Epoch:9, Support: 5
1 7 7 1 7 1, Epoch:9, Support: 11
