1 1 1 , Epoch:12, Support: 437
4 4 4 4 4 4 4 4 4 4 2 , Epoch:20, Support: 8
4 4 4 4 8 , Epoch:25, Support: 4
4 4 8 , Epoch:27, Support: 5
4 4 8 8 8 , Epoch:25, Support: 4
4 8 4 8 , Epoch:24, Support: 4
4 8 8 8 8 , Epoch:25, Support: 4
4 8 8 8 8 8 , Epoch:24, Support: 4
5 5 3 3 3 3 3 3 3 3 , Epoch:19, Support: 7
5 5 3 3 3 3 3 3 3 5 , Epoch:19, Support: 6
5 5 3 3 3 3 3 3 5 3 , Epoch:19, Support: 6
5 5 3 3 3 3 3 3 5 5 , Epoch:19, Support: 6
5 5 3 3 3 3 3 5 3 3 , Epoch:19, Support: 6
5 5 3 3 3 3 3 5 3 5 , Epoch:19, Support: 6
5 5 3 3 3 3 3 5 5 3 , Epoch:19, Support: 6
5 5 3 3 3 3 3 5 5 5 , Epoch:19, Support: 6
5 5 3 3 3 3 5 3 3 3 , Epoch:19, Support: 6
5 5 3 3 3 3 5 3 3 5 , Epoch:19, Support: 6
5 5 3 3 3 3 5 3 5 3 , Epoch:19, Support: 6
5 5 3 3 3 3 5 3 5 5 , Epoch:19, Support: 6
5 5 3 3 3 3 5 5 3 3 , Epoch:19, Support: 6
5 5 3 3 3 3 5 5 5 5 , Epoch:19, Support: 6
5 5 3 3 3 5 3 3 3 3 , Epoch:19, Support: 6
5 5 3 3 3 5 3 3 3 5 , Epoch:19, Support: 6
5 5 3 3 3 5 3 3 5 3 , Epoch:19, Support: 6
5 5 3 3 3 5 3 3 5 5 , Epoch:19, Support: 6
5 5 3 3 3 5 3 5 3 3 , Epoch:19, Support: 6
5 5 3 3 3 5 3 5 3 5 , Epoch:19, Support: 6
5 5 3 3 3 5 3 5 5 3 , Epoch:19, Support: 6
5 5 3 3 3 5 3 5 5 5 , Epoch:19, Support: 6
5 5 3 3 3 5 5 3 3 3 , Epoch:19, Support: 6
5 5 3 3 3 5 5 5 5 5 , Epoch:19, Support: 6
