9 9 9, Epoch:3, Support: 2322
7 7 7, Epoch:3, Support: 4
7 7 9 7, Epoch:3, Support: 5
7 7 7 7 7 7, Epoch:5, Support: 444
9 7 9 7 7, Epoch:5, Support: 5
7 9 9 9 7 7, Epoch:5, Support: 4
5 5 6, Epoch:8, Support: 6
10 10 5 5 10 5 5, Epoch:8, Support: 9
2 2 2 2 2, Epoch:8, Support: 2400
5 6 6, Epoch:8, Support: 5
5 5 5 5 5 5, Epoch:8, Support: 3366
8 8 8 8, Epoch:8, Support: 5
5 5 8 5 5 5, Epoch:8, Support: 5
9 9 5 5 5 5 5 5, Epoch:8, Support: 6
6 5 5, Epoch:8, Support: 5
6 9 6 9, Epoch:9, Support: 6
5 5 5 5 6 6 6, Epoch:9, Support: 5
10 10 10 10 10 10 10 10, Epoch:9, Support: 1467
2 2 2 2 2 3, Epoch:9, Support: 16
6 6 6 9, Epoch:9, Support: 8
5 5 5 6 5 5 6, Epoch:9, Support: 5
6 9 6, Epoch:9, Support: 6
5 5 5 6 6 5 6, Epoch:9, Support: 6
5 10 10 5 10 10 10, Epoch:9, Support: 9
5 5 5 5 5 5 8, Epoch:9, Support: 5
9 9 9, Epoch:9, Support: 1398
10 10 10 10 10 10 9 10, Epoch:9, Support: 8
10 10 10 10 10 10 10 3, Epoch:9, Support: 9
6 6 6 6, Epoch:9, Support: 1628
5 5 5 5 5 5 3, Epoch:9, Support: 12
8 8 8 8 8, Epoch:9, Support: 2690
8 8 8 8 3, Epoch:9, Support: 14
9 9 3, Epoch:9, Support: 12
5 8 8 8 8, Epoch:9, Support: 5
6 6 9 6, Epoch:9, Support: 7
