1 1 1 1 1 , Epoch:5, Support: 185
2 2 2 , Epoch:7, Support: 1299
2 2 2 2 , Epoch:6, Support: 675
2 2 3 , Epoch:7, Support: 4
2 3 2 , Epoch:7, Support: 4
2 3 3 , Epoch:7, Support: 4
5 5 7 , Epoch:1, Support: 9
5 7 7 , Epoch:1, Support: 9
5 7 7 7 , Epoch:0, Support: 9
5 10 10 10 10 10 10 , Epoch:2, Support: 10
6 6 6 , Epoch:2, Support: 1197
7 5 7 , Epoch:1, Support: 9
7 6 6 6 , Epoch:1, Support: 12
7 6 7 6 , Epoch:1, Support: 12
7 7 6 6 , Epoch:1, Support: 12
7 7 7 6 , Epoch:1, Support: 12
7 8 8 8 8 8 8 , Epoch:3, Support: 13
8 8 8 2 2 2 , Epoch:4, Support: 6
8 8 8 2 2 8 , Epoch:4, Support: 6
8 8 8 2 8 2 , Epoch:4, Support: 6
8 8 8 2 8 8 , Epoch:4, Support: 6
8 8 8 8 2 2 , Epoch:4, Support: 6
8 8 8 8 2 8 , Epoch:4, Support: 6
8 8 8 8 3 3 , Epoch:4, Support: 7
8 8 8 8 3 8 , Epoch:4, Support: 7
8 8 8 8 8 2 , Epoch:4, Support: 6
8 8 8 8 8 3 , Epoch:4, Support: 7
8 8 8 8 8 8 , Epoch:4, Support: 4557
10 8 8 8 8 8 8 , Epoch:3, Support: 6
10 8 8 8 8 10 8 , Epoch:3, Support: 6
10 8 8 8 10 8 8 , Epoch:3, Support: 6
10 8 8 10 8 8 8 , Epoch:3, Support: 6
10 8 10 8 8 8 8 , Epoch:3, Support: 6
10 8 10 8 8 10 8 , Epoch:3, Support: 6
10 8 10 8 10 8 8 , Epoch:3, Support: 6
10 10 8 8 8 8 8 , Epoch:3, Support: 6
10 10 8 8 8 10 8 , Epoch:3, Support: 6
10 10 8 8 10 8 8 , Epoch:3, Support: 6
10 10 8 8 10 10 8 , Epoch:3, Support: 6
10 10 8 10 8 8 8 , Epoch:3, Support: 6
10 10 8 10 8 10 8 , Epoch:3, Support: 6
10 10 8 10 10 8 8 , Epoch:3, Support: 6
10 10 10 8 8 8 8 , Epoch:3, Support: 6
10 10 10 8 8 10 8 , Epoch:3, Support: 6
10 10 10 8 10 8 8 , Epoch:3, Support: 6
10 10 10 8 10 10 8 , Epoch:3, Support: 6
10 10 10 10 8 8 8 , Epoch:3, Support: 6
10 10 10 10 8 10 8 , Epoch:3, Support: 6
10 10 10 10 10 8 8 , Epoch:3, Support: 6
10 10 10 10 10 10 8 , Epoch:3, Support: 6
