1 1 1 , Epoch:7, Support: 7059
1 1 4 , Epoch:7, Support: 27
2 1 1 1 , Epoch:6, Support: 6
2 1 1 2 , Epoch:6, Support: 6
2 1 2 1 , Epoch:6, Support: 6
2 1 2 2 , Epoch:6, Support: 6
2 2 1 1 , Epoch:6, Support: 6
2 2 1 2 , Epoch:6, Support: 6
2 2 2 1 , Epoch:6, Support: 6
2 2 2 2 , Epoch:6, Support: 682
3 3 2 2 2 2 , Epoch:4, Support: 12
3 3 2 2 3 2 , Epoch:4, Support: 12
3 3 2 3 2 2 , Epoch:4, Support: 12
3 3 2 3 3 2 , Epoch:4, Support: 12
3 3 3 2 2 2 , Epoch:4, Support: 12
3 3 3 2 3 2 , Epoch:4, Support: 12
3 3 3 3 2 2 , Epoch:4, Support: 12
3 3 3 3 3 2 , Epoch:4, Support: 12
3 3 3 3 3 3 3 , Epoch:2, Support: 32
3 8 8 8 8 , Epoch:5, Support: 22
3 8 8 8 8 8 , Epoch:4, Support: 22
4 4 3 3 3 3 3 4 4 , Epoch:0, Support: 50
4 4 3 3 3 3 4 4 4 , Epoch:0, Support: 50
4 4 3 3 3 4 3 4 4 , Epoch:0, Support: 50
4 4 3 3 3 4 4 4 4 , Epoch:0, Support: 50
4 4 3 3 4 3 3 4 4 , Epoch:0, Support: 50
4 4 3 3 4 3 4 4 4 , Epoch:0, Support: 50
4 4 3 3 4 4 4 4 4 , Epoch:0, Support: 50
4 4 3 4 3 3 3 4 4 , Epoch:0, Support: 50
4 4 3 4 3 3 4 4 4 , Epoch:0, Support: 50
4 4 3 4 3 4 3 4 4 , Epoch:0, Support: 50
4 4 3 4 3 4 4 4 4 , Epoch:0, Support: 50
4 4 3 4 4 3 3 4 4 , Epoch:0, Support: 50
4 4 3 4 4 4 4 4 4 , Epoch:0, Support: 50
4 4 4 3 3 3 3 4 4 , Epoch:0, Support: 50
4 4 4 3 3 3 4 4 4 , Epoch:0, Support: 50
4 4 4 3 3 4 3 4 4 , Epoch:0, Support: 50
4 4 4 3 3 4 4 4 4 , Epoch:0, Support: 50
4 4 4 3 4 3 3 4 4 , Epoch:0, Support: 50
4 4 4 3 4 3 4 4 4 , Epoch:0, Support: 50
4 4 4 3 4 4 3 4 4 , Epoch:0, Support: 50
4 4 4 3 4 4 4 4 4 , Epoch:0, Support: 50
4 4 4 4 3 3 3 4 4 , Epoch:0, Support: 50
4 4 4 4 3 3 4 4 4 , Epoch:0, Support: 50
4 4 4 4 3 4 3 4 4 , Epoch:0, Support: 50
4 4 4 4 3 4 4 4 4 , Epoch:0, Support: 50
4 4 4 4 4 3 3 4 4 , Epoch:0, Support: 50
4 4 4 4 4 3 4 4 4 , Epoch:0, Support: 50
4 4 4 4 4 4 2 2 2 2 , Epoch:0, Support: 12
4 4 4 4 4 4 2 2 4 2 , Epoch:0, Support: 12
4 4 4 4 4 4 2 4 2 2 , Epoch:0, Support: 12
4 4 4 4 4 4 2 4 4 2 , Epoch:0, Support: 12
4 4 4 4 4 4 3 4 4 , Epoch:0, Support: 50
4 4 4 4 4 4 4 2 2 2 , Epoch:0, Support: 12
4 4 4 4 4 4 4 2 4 2 , Epoch:0, Support: 12
4 4 4 4 4 4 4 4 2 2 , Epoch:0, Support: 12
4 4 4 4 4 4 4 4 4 2 , Epoch:0, Support: 12
4 8 8 8 8 8 8 , Epoch:3, Support: 8
4 8 8 8 8 8 8 8 , Epoch:2, Support: 8
8 3 3 3 3 3 8 , Epoch:3, Support: 20
8 3 3 3 3 8 8 , Epoch:3, Support: 20
8 3 3 3 8 , Epoch:5, Support: 22
8 3 3 3 8 3 8 , Epoch:3, Support: 20
8 3 3 3 8 8 8 , Epoch:3, Support: 20
8 3 3 8 3 3 8 , Epoch:3, Support: 20
8 3 3 8 3 8 8 , Epoch:3, Support: 20
8 3 3 8 8 , Epoch:5, Support: 22
8 3 3 8 8 3 8 , Epoch:3, Support: 20
8 3 3 8 8 8 8 , Epoch:3, Support: 20
8 3 8 3 3 3 8 , Epoch:3, Support: 20
8 3 8 3 3 8 8 , Epoch:3, Support: 20
8 3 8 3 8 , Epoch:5, Support: 22
8 3 8 3 8 3 8 , Epoch:3, Support: 20
8 3 8 3 8 8 8 , Epoch:3, Support: 20
8 3 8 8 3 3 8 , Epoch:3, Support: 20
8 3 8 8 3 8 8 , Epoch:3, Support: 20
8 3 8 8 8 , Epoch:5, Support: 22
8 3 8 8 8 3 8 , Epoch:3, Support: 20
8 3 8 8 8 8 8 , Epoch:3, Support: 20
8 4 4 4 4 4 8 , Epoch:3, Support: 8
8 4 4 4 4 8 8 , Epoch:3, Support: 8
8 4 4 4 8 8 8 , Epoch:3, Support: 8
8 4 4 8 4 4 8 , Epoch:3, Support: 8
8 4 4 8 8 8 8 , Epoch:3, Support: 8
8 4 8 4 4 4 8 , Epoch:3, Support: 8
8 4 8 4 4 8 8 , Epoch:3, Support: 8
8 4 8 4 8 4 8 , Epoch:3, Support: 8
8 4 8 8 8 8 8 , Epoch:3, Support: 8
8 8 3 3 3 3 8 , Epoch:3, Support: 20
8 8 3 3 3 8 8 , Epoch:3, Support: 20
8 8 3 3 8 , Epoch:5, Support: 22
8 8 3 3 8 3 8 , Epoch:3, Support: 20
