2 2 2 , Epoch:2, Support: 544
3 3 3 3 3 1 1 , Epoch:3, Support: 8
3 3 3 3 3 1 3 , Epoch:3, Support: 8
3 3 3 3 3 3 1 , Epoch:3, Support: 8
3 3 3 3 3 3 3 , Epoch:3, Support: 2950
3 3 3 3 7 7 7 7 , Epoch:2, Support: 6
3 3 7 , Epoch:7, Support: 20
3 7 3 , Epoch:7, Support: 20
3 7 7 , Epoch:7, Support: 20
3 7 7 7 , Epoch:6, Support: 20
3 7 7 7 7 , Epoch:5, Support: 14
7 1 1 , Epoch:7, Support: 12
7 1 7 , Epoch:7, Support: 12
7 3 3 , Epoch:7, Support: 20
7 3 3 3 , Epoch:6, Support: 8
7 3 3 7 , Epoch:6, Support: 8
7 3 7 , Epoch:7, Support: 20
7 3 7 3 , Epoch:6, Support: 8
7 3 7 7 , Epoch:6, Support: 8
7 7 1 , Epoch:7, Support: 12
7 7 3 , Epoch:7, Support: 20
7 7 3 3 , Epoch:6, Support: 8
7 7 3 7 , Epoch:6, Support: 8
7 7 7 , Epoch:7, Support: 5793
7 7 7 3 , Epoch:6, Support: 8
7 7 7 7 , Epoch:6, Support: 1260
8 8 8 8 8 , Epoch:5, Support: 392
9 9 9 9 , Epoch:0, Support: 660
10 10 7 7 7 7 , Epoch:4, Support: 10
10 10 7 7 10 7 , Epoch:4, Support: 10
10 10 7 10 7 7 , Epoch:4, Support: 10
10 10 7 10 10 7 , Epoch:4, Support: 10
10 10 10 7 7 7 , Epoch:4, Support: 10
10 10 10 7 10 7 , Epoch:4, Support: 10
10 10 10 10 7 7 , Epoch:4, Support: 10
10 10 10 10 10 7 , Epoch:4, Support: 10
