1 1 1 , Epoch:4, Support: 3514
2 3 3 3 3 , Epoch:5, Support: 20
2 3 3 3 3 3 , Epoch:4, Support: 20
3 3 3 1 1 , Epoch:5, Support: 24
3 3 3 1 3 , Epoch:5, Support: 24
3 3 3 3 1 , Epoch:5, Support: 24
3 3 3 3 3 , Epoch:5, Support: 2709
4 4 1 1 , Epoch:6, Support: 27
4 4 1 4 , Epoch:6, Support: 27
4 4 4 1 , Epoch:6, Support: 27
4 4 4 4 , Epoch:6, Support: 3202
4 4 4 4 4 1 1 , Epoch:3, Support: 25
4 4 4 4 4 1 4 , Epoch:3, Support: 25
4 4 4 4 4 4 1 , Epoch:3, Support: 25
4 4 4 4 4 4 4 , Epoch:3, Support: 1275
4 4 4 4 5 , Epoch:5, Support: 24
4 4 5 , Epoch:7, Support: 26
4 4 10 , Epoch:7, Support: 8
4 10 4 , Epoch:7, Support: 8
4 10 10 , Epoch:7, Support: 8
4 10 10 10 , Epoch:6, Support: 8
7 7 1 1 1 , Epoch:2, Support: 62
7 7 1 7 1 , Epoch:2, Support: 62
7 7 7 1 1 , Epoch:2, Support: 62
7 7 7 3 3 3 3 3 , Epoch:2, Support: 53
7 7 7 7 1 , Epoch:2, Support: 62
7 7 7 7 1 1 1 , Epoch:0, Support: 20
7 7 7 7 1 7 1 , Epoch:0, Support: 20
7 7 7 7 3 3 3 3 , Epoch:2, Support: 53
7 7 7 7 4 4 4 4 , Epoch:2, Support: 49
7 7 7 7 7 1 1 , Epoch:0, Support: 20
7 7 7 7 7 3 3 3 3 3 , Epoch:0, Support: 32
7 7 7 7 7 7 1 , Epoch:0, Support: 20
7 7 7 7 7 7 3 3 3 3 , Epoch:0, Support: 32
7 7 7 7 7 7 4 4 4 4 , Epoch:0, Support: 28
10 1 1 , Epoch:7, Support: 16
10 1 10 , Epoch:7, Support: 16
10 4 4 , Epoch:7, Support: 8
10 4 10 , Epoch:7, Support: 8
10 10 1 , Epoch:7, Support: 16
10 10 4 , Epoch:7, Support: 8
10 10 10 , Epoch:7, Support: 2768
