1 1 1 1 1 , Epoch:5, Support: 364
4 4 4 4 4 4 4 4 , Epoch:2, Support: 7745
4 4 4 4 4 4 4 4 3 3 , Epoch:0, Support: 30
4 4 4 4 4 4 4 4 3 4 , Epoch:0, Support: 30
4 4 4 4 4 4 4 4 4 3 , Epoch:0, Support: 30
4 4 4 4 4 4 4 4 4 4 , Epoch:0, Support: 4173
4 4 4 4 4 4 4 4 6 , Epoch:1, Support: 30
4 4 4 4 4 4 4 4 10 , Epoch:1, Support: 12
4 4 4 4 4 4 4 6 4 , Epoch:1, Support: 30
4 4 4 4 4 4 4 6 6 , Epoch:1, Support: 30
4 4 4 4 4 4 4 10 4 , Epoch:1, Support: 12
4 4 4 4 4 4 4 10 10 , Epoch:1, Support: 12
4 4 4 4 4 4 6 4 4 , Epoch:1, Support: 30
4 4 4 4 4 4 6 4 6 , Epoch:1, Support: 30
4 4 4 4 4 4 6 6 4 , Epoch:1, Support: 30
4 4 4 4 4 4 6 6 6 , Epoch:1, Support: 30
4 4 4 4 4 4 10 4 4 , Epoch:1, Support: 12
4 4 4 4 4 4 10 4 10 , Epoch:1, Support: 12
4 4 4 4 4 4 10 10 4 , Epoch:1, Support: 12
4 4 4 4 4 4 10 10 10 , Epoch:1, Support: 12
4 4 4 4 4 6 4 4 4 , Epoch:1, Support: 45
4 4 4 4 4 6 4 4 6 , Epoch:1, Support: 11
4 4 4 4 4 6 4 6 4 , Epoch:1, Support: 11
4 4 4 4 4 6 4 6 6 , Epoch:1, Support: 11
4 4 4 4 4 6 6 4 4 , Epoch:1, Support: 11
4 4 4 4 4 6 6 4 6 , Epoch:1, Support: 11
4 4 4 4 4 6 6 6 4 , Epoch:1, Support: 11
4 4 4 4 4 6 6 6 6 , Epoch:1, Support: 11
4 4 4 4 4 10 4 4 4 , Epoch:1, Support: 12
4 4 4 4 4 10 4 4 10 , Epoch:1, Support: 12
4 4 4 4 4 10 4 10 4 , Epoch:1, Support: 12
4 4 4 4 4 10 4 10 10 , Epoch:1, Support: 12
4 4 4 4 4 10 10 4 4 , Epoch:1, Support: 12
4 4 4 4 4 10 10 4 10 , Epoch:1, Support: 12
4 4 4 4 4 10 10 10 4 , Epoch:1, Support: 12
4 4 4 4 4 10 10 10 10 , Epoch:1, Support: 12
