1 1 1 , Epoch:40, Support: 96
1 1 1 1 1 , Epoch:58, Support: 300
1 1 1 1 1 1 1 , Epoch:21, Support: 208
1 1 1 1 1 6 6 6 6 6 6 6 6 6 6 , Epoch:7, Support: 6
1 6 6 6 6 6 6 6 6 6 , Epoch:12, Support: 6
1 6 6 6 6 6 6 6 6 6 6 , Epoch:11, Support: 53
2 2 2 , Epoch:10, Support: 108
2 2 2 2 , Epoch:38, Support: 135
2 2 2 2 2 2 2 , Epoch:26, Support: 112
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 , Epoch:44, Support: 4
2 8 8 8 8 8 , Epoch:59, Support: 6
3 3 3 , Epoch:61, Support: 27
3 3 3 3 , Epoch:32, Support: 324
3 3 3 3 , Epoch:48, Support: 462
3 3 3 3 3 3 , Epoch:5, Support: 176
3 3 3 3 3 3 3 , Epoch:63, Support: 690
3 3 3 3 3 3 3 3 3 , Epoch:16, Support: 12
3 3 3 3 3 3 3 3 3 , Epoch:34, Support: 1375
4 4 4 4 , Epoch:23, Support: 901
4 4 4 4 4 , Epoch:17, Support: 1188
4 4 4 4 4 , Epoch:30, Support: 289
4 4 4 4 4 4 , Epoch:0, Support: 175
4 4 4 4 4 4 4 , Epoch:28, Support: 5
4 4 4 4 4 4 4 4 4 , Epoch:52, Support: 180
5 5 2 2 2 2 2 2 2 , Epoch:51, Support: 4
5 5 2 2 5 2 2 2 2 , Epoch:51, Support: 4
5 5 2 5 2 2 2 2 2 , Epoch:51, Support: 4
5 5 2 5 5 2 2 2 2 , Epoch:51, Support: 4
5 5 5 , Epoch:67, Support: 1008
5 5 5 2 2 2 2 2 2 , Epoch:51, Support: 4
5 5 5 2 5 2 2 2 2 , Epoch:51, Support: 4
5 5 5 5 , Epoch:1, Support: 522
5 5 5 5 2 2 2 2 2 , Epoch:51, Support: 4
5 5 5 5 5 2 2 2 2 , Epoch:51, Support: 4
5 5 5 5 5 5 , Epoch:43, Support: 390
5 5 5 5 5 5 , Epoch:64, Support: 528
5 5 5 5 5 5 5 5 5 5 , Epoch:18, Support: 528
5 5 5 5 5 5 5 5 5 5 , Epoch:56, Support: 1040
5 9 9 9 9 9 9 , Epoch:55, Support: 6
5 9 9 9 9 9 9 9 , Epoch:54, Support: 6
6 1 6 6 6 6 6 6 6 6 , Epoch:12, Support: 6
6 6 6 6 6 , Epoch:24, Support: 1002
6 6 6 6 6 6 6 , Epoch:22, Support: 432
6 6 6 6 6 6 6 , Epoch:39, Support: 1029
6 6 6 6 6 6 6 6 6 , Epoch:45, Support: 460
6 6 6 6 6 6 6 6 6 6 , Epoch:12, Support: 940
7 7 7 , Epoch:11, Support: 344
7 7 7 7 , Epoch:9, Support: 240
7 7 7 7 7 , Epoch:65, Support: 931
7 7 7 7 7 7 7 , Epoch:29, Support: 64
7 7 7 7 7 7 7 , Epoch:46, Support: 129
8 8 8 , Epoch:27, Support: 588
8 8 8 8 , Epoch:50, Support: 646
8 8 8 8 , Epoch:66, Support: 1332
8 8 8 8 8 , Epoch:57, Support: 644
8 8 8 8 8 8 , Epoch:62, Support: 336
8 8 8 8 8 8 8 , Epoch:7, Support: 432
8 8 8 8 8 8 8 8 , Epoch:60, Support: 4
9 9 1 1 1 1 , Epoch:6, Support: 5
9 9 4 4 4 4 4 4 4 9 , Epoch:31, Support: 9
9 9 4 4 4 4 4 4 9 9 , Epoch:31, Support: 9
9 9 4 4 4 4 4 9 4 9 , Epoch:31, Support: 9
9 9 4 4 4 4 4 9 9 9 , Epoch:31, Support: 9
9 9 4 4 4 4 9 4 4 9 , Epoch:31, Support: 9
9 9 4 4 4 4 9 4 9 9 , Epoch:31, Support: 9
9 9 4 4 4 4 9 9 9 9 , Epoch:31, Support: 9
9 9 4 4 4 9 4 4 4 9 , Epoch:31, Support: 9
9 9 4 4 4 9 4 4 9 9 , Epoch:31, Support: 9
9 9 4 4 4 9 4 9 4 9 , Epoch:31, Support: 9
9 9 4 4 4 9 4 9 9 9 , Epoch:31, Support: 9
9 9 4 4 4 9 9 9 9 9 , Epoch:31, Support: 9
9 9 4 4 9 4 4 4 4 9 , Epoch:31, Support: 9
9 9 4 4 9 4 4 4 9 9 , Epoch:31, Support: 9
9 9 4 4 9 4 4 9 4 9 , Epoch:31, Support: 9
9 9 4 4 9 4 4 9 9 9 , Epoch:31, Support: 9
9 9 4 4 9 4 9 4 4 9 , Epoch:31, Support: 9
9 9 4 4 9 4 9 4 9 9 , Epoch:31, Support: 9
9 9 4 4 9 4 9 9 9 9 , Epoch:31, Support: 9
9 9 4 4 9 9 4 4 4 9 , Epoch:31, Support: 9
9 9 4 4 9 9 4 4 9 9 , Epoch:31, Support: 9
9 9 4 4 9 9 9 9 9 9 , Epoch:31, Support: 9
9 9 4 9 4 4 4 4 4 9 , Epoch:31, Support: 9
9 9 4 9 4 4 4 4 9 9 , Epoch:31, Support: 9
9 9 4 9 4 4 4 9 4 9 , Epoch:31, Support: 9
9 9 4 9 4 4 4 9 9 9 , Epoch:31, Support: 9
9 9 4 9 4 4 9 4 4 9 , Epoch:31, Support: 9
9 9 4 9 4 4 9 4 9 9 , Epoch:31, Support: 9
9 9 4 9 4 4 9 9 4 9 , Epoch:31, Support: 9
9 9 4 9 4 4 9 9 9 9 , Epoch:31, Support: 9
9 9 4 9 4 9 4 4 4 9 , Epoch:31, Support: 9
