8 8 8, Epoch:5, Support: 967
9 9 9 9 9, Epoch:5, Support: 465
4 4 4 4 4 4 4 4, Epoch:7, Support: 48
5 5 5 5 5 5 5 5, Epoch:9, Support: 35
2 2 2 2 2 2 2, Epoch:12, Support: 762
5 5 5 5 5 5 5, Epoch:13, Support: 135
2 2 2 2 2 2 2 2 2 2, Epoch:13, Support: 423
1 1 1 1 1 1 1 1 1 1, Epoch:14, Support: 863
4 4 4 4 4 4 4, Epoch:15, Support: 860
9 9 9 9 9 9 9 9 9, Epoch:16, Support: 1867
9 3 9 9 3, Epoch:16, Support: 5
4 4 4 4 4 4, Epoch:16, Support: 212
3 3 3 3, Epoch:17, Support: 314
5 5 5 5 5 5 5 5, Epoch:17, Support: 404
2 2 2 2 2 2 3 3 3 3 3 3 3, Epoch:18, Support: 6
3 3 3, Epoch:18, Support: 392
3 3 3 3 3 3 3, Epoch:18, Support: 1221
9 9 9 9 3 9 3 3 9 3 3, Epoch:18, Support: 5
8 8 8 8 8 8, Epoch:18, Support: 1251
8 8 8 8 8 8 8 8, Epoch:22, Support: 1148
7 7 7, Epoch:22, Support: 300
8 8 8, Epoch:22, Support: 7
7 7 7 7 7 7 7 7, Epoch:24, Support: 223
6 6 6 6 6 6, Epoch:24, Support: 636
10 10 10 10 10 10 10 10, Epoch:25, Support: 96
9 9 9 9, Epoch:25, Support: 720
1 1 1, Epoch:25, Support: 192
2 2 2, Epoch:28, Support: 593
6 6 6 6 6 6 6 6 6, Epoch:29, Support: 628
4 4 4 4 4 4, Epoch:30, Support: 776
4 4 4 4 4 4 4, Epoch:30, Support: 466
4 4 4 4, Epoch:30, Support: 1457
5 5 5 5 5 5 5, Epoch:34, Support: 284
5 5 5 5 5 5, Epoch:34, Support: 888
10 10 10 10 10 10 10 10 10, Epoch:38, Support: 119
9 9 9 9 9 9 9 9 9, Epoch:39, Support: 14
4 4 4 4 4 4 4 4, Epoch:39, Support: 1136
4 4 4 4 4, Epoch:40, Support: 470
7 7 7 7, Epoch:41, Support: 1432
8 8 8 8 8 8 8, Epoch:41, Support: 685
6 6 6 6 6 6 6 6 6, Epoch:42, Support: 287
10 10 10 10 10 10 10 10 10 10, Epoch:42, Support: 17
6 6 6 6 6 6 6 6, Epoch:44, Support: 167
7 7 7 7 7, Epoch:46, Support: 4
7 7 7 7 7 3 7, Epoch:46, Support: 4
7 7 7 7 7 7 7 7, Epoch:46, Support: 1907
8 8 8, Epoch:47, Support: 598
7 3 3 3 3 3 7 3 3 3, Epoch:48, Support: 4
3 3 3 3 3 3, Epoch:48, Support: 4
3 3 3 3 3 3 3 3 3, Epoch:48, Support: 1277
4 4 4 4, Epoch:49, Support: 1265
5 5 5, Epoch:49, Support: 7
10 10 10 10 10 10 10 10 10, Epoch:49, Support: 6
6 6 6, Epoch:49, Support: 637
10 10 10 10 10 10 10, Epoch:49, Support: 620
5 5 5 5 5 5 5 5, Epoch:49, Support: 531
3 3 3 3 3 3, Epoch:49, Support: 1065
4 4 4 10, Epoch:49, Support: 5
