1 3 3 , Epoch:7, Support: 12
1 3 3 3 , Epoch:6, Support: 12
2 2 2 2 , Epoch:6, Support: 750
2 2 5 , Epoch:7, Support: 6
3 3 3 , Epoch:7, Support: 2484
3 6 6 6 6 , Epoch:3, Support: 4
3 6 6 6 6 6 , Epoch:2, Support: 4
4 4 4 3 3 3 , Epoch:4, Support: 8
4 4 4 3 3 4 , Epoch:4, Support: 8
4 4 4 3 4 3 , Epoch:4, Support: 8
4 4 4 3 4 4 , Epoch:4, Support: 8
4 4 4 4 3 3 , Epoch:4, Support: 8
4 4 4 4 3 4 , Epoch:4, Support: 8
4 4 4 4 4 3 , Epoch:4, Support: 8
4 4 4 4 4 4 , Epoch:4, Support: 533
5 5 5 5 5 1 1 1 , Epoch:0, Support: 30
5 9 9 9 9 9 9 , Epoch:1, Support: 6
5 9 9 9 9 9 9 9 , Epoch:0, Support: 6
6 3 3 3 6 , Epoch:3, Support: 4
6 3 3 6 6 , Epoch:3, Support: 4
6 3 6 3 6 , Epoch:3, Support: 4
6 3 6 6 6 , Epoch:3, Support: 4
6 6 1 1 1 , Epoch:3, Support: 9
6 6 1 1 6 , Epoch:3, Support: 9
6 6 1 6 1 , Epoch:3, Support: 9
6 6 1 6 6 , Epoch:3, Support: 9
6 6 3 3 6 , Epoch:3, Support: 4
6 6 3 6 6 , Epoch:3, Support: 4
6 6 6 1 1 , Epoch:3, Support: 9
6 6 6 1 6 , Epoch:3, Support: 9
6 6 6 3 6 , Epoch:3, Support: 4
6 6 6 6 1 , Epoch:3, Support: 9
6 6 6 6 3 3 3 , Epoch:3, Support: 33
6 6 6 6 6 3 3 , Epoch:3, Support: 33
9 5 5 5 9 9 9 , Epoch:1, Support: 6
9 5 5 9 9 9 9 , Epoch:1, Support: 6
9 5 9 9 9 9 9 , Epoch:1, Support: 6
9 9 5 5 9 9 9 , Epoch:1, Support: 6
9 9 5 9 9 9 9 , Epoch:1, Support: 6
9 9 6 6 6 6 6 , Epoch:1, Support: 7
9 9 6 6 6 6 9 , Epoch:1, Support: 7
9 9 6 6 6 9 6 , Epoch:1, Support: 7
9 9 6 6 6 9 9 , Epoch:1, Support: 7
9 9 6 6 9 6 6 , Epoch:1, Support: 7
9 9 6 6 9 6 9 , Epoch:1, Support: 7
9 9 6 6 9 9 6 , Epoch:1, Support: 7
9 9 6 6 9 9 9 , Epoch:1, Support: 7
9 9 6 9 6 6 6 , Epoch:1, Support: 7
9 9 6 9 6 6 9 , Epoch:1, Support: 7
9 9 6 9 6 9 6 , Epoch:1, Support: 7
9 9 6 9 6 9 9 , Epoch:1, Support: 7
9 9 6 9 9 6 6 , Epoch:1, Support: 7
9 9 6 9 9 6 9 , Epoch:1, Support: 7
9 9 6 9 9 9 9 , Epoch:1, Support: 7
9 9 9 5 9 9 9 , Epoch:1, Support: 6
9 9 9 6 6 6 6 , Epoch:1, Support: 7
9 9 9 6 6 6 9 , Epoch:1, Support: 7
9 9 9 6 6 9 6 , Epoch:1, Support: 7
9 9 9 6 6 9 9 , Epoch:1, Support: 7
9 9 9 6 9 6 6 , Epoch:1, Support: 7
9 9 9 6 9 6 9 , Epoch:1, Support: 7
9 9 9 6 9 9 6 , Epoch:1, Support: 7
9 9 9 6 9 9 9 , Epoch:1, Support: 7
9 9 9 9 1 1 1 , Epoch:1, Support: 21
9 9 9 9 1 1 9 , Epoch:1, Support: 21
9 9 9 9 1 9 1 , Epoch:1, Support: 21
9 9 9 9 1 9 9 , Epoch:1, Support: 21
9 9 9 9 6 6 6 , Epoch:1, Support: 7
9 9 9 9 6 6 9 , Epoch:1, Support: 7
9 9 9 9 6 9 6 , Epoch:1, Support: 7
9 9 9 9 6 9 9 , Epoch:1, Support: 7
9 9 9 9 9 1 1 , Epoch:1, Support: 21
9 9 9 9 9 1 9 , Epoch:1, Support: 21
9 9 9 9 9 6 6 , Epoch:1, Support: 7
9 9 9 9 9 6 9 , Epoch:1, Support: 7
9 9 9 9 9 9 1 , Epoch:1, Support: 21
9 9 9 9 9 9 6 , Epoch:1, Support: 7
9 9 9 9 9 9 9 , Epoch:1, Support: 2050
