1 1 1 1 1 , Epoch:28, Support: 12
1 1 1 1 1 1 , Epoch:75, Support: 480
1 1 1 1 1 1 1 , Epoch:6, Support: 656
1 1 1 1 1 1 1 1 1 , Epoch:67, Support: 140
1 1 1 1 1 1 1 1 1 1 , Epoch:35, Support: 1044
1 2 2 2 , Epoch:44, Support: 5
1 2 2 2 2 , Epoch:43, Support: 5
2 2 2 , Epoch:22, Support: 297
2 2 2 2 , Epoch:44, Support: 1305
2 2 2 2 , Epoch:61, Support: 1155
2 2 2 2 2 2 2 , Epoch:5, Support: 204
3 3 3 3 , Epoch:25, Support: 102
3 3 3 3 3 3 , Epoch:76, Support: 1077
3 3 3 3 3 3 , Epoch:77, Support: 260
3 3 3 3 3 3 3 3 , Epoch:30, Support: 207
3 3 3 3 3 3 3 3 , Epoch:73, Support: 116
3 3 3 3 3 3 3 3 , Epoch:74, Support: 285
3 3 3 3 3 3 3 3 3 , Epoch:12, Support: 180
3 3 3 3 3 3 3 3 3 , Epoch:17, Support: 738
3 3 3 3 3 3 3 3 3 , Epoch:66, Support: 1512
3 3 3 3 3 3 3 3 3 3 , Epoch:39, Support: 558
3 3 8 , Epoch:67, Support: 4
3 8 8 , Epoch:67, Support: 4
3 8 8 8 , Epoch:66, Support: 4
4 4 4 4 1 1 1 1 1 1 1 , Epoch:34, Support: 4
4 4 4 4 4 , Epoch:0, Support: 144
4 4 4 4 4 , Epoch:55, Support: 1814
4 4 4 4 4 4 , Epoch:79, Support: 520
4 4 4 4 4 4 4 4 4 , Epoch:2, Support: 720
4 4 4 4 4 4 4 4 4 , Epoch:27, Support: 572
4 4 4 4 4 4 4 4 4 , Epoch:51, Support: 1274
4 4 10 , Epoch:46, Support: 4
4 6 6 , Epoch:48, Support: 6
4 6 6 6 , Epoch:42, Support: 4
4 6 6 6 , Epoch:47, Support: 6
4 6 6 6 6 , Epoch:41, Support: 4
4 6 6 6 6 6 , Epoch:40, Support: 4
4 9 9 9 , Epoch:56, Support: 4
4 9 9 9 9 , Epoch:55, Support: 4
4 10 10 , Epoch:46, Support: 4
4 10 10 10 10 10 10 , Epoch:42, Support: 6
4 10 10 10 10 10 10 10 , Epoch:41, Support: 6
5 5 5 , Epoch:59, Support: 228
5 5 5 5 5 , Epoch:43, Support: 265
5 5 5 5 5 5 , Epoch:62, Support: 480
5 5 5 5 5 5 5 , Epoch:18, Support: 1176
5 5 5 5 5 5 5 , Epoch:52, Support: 112
5 5 5 5 5 5 5 5 , Epoch:9, Support: 328
5 5 5 5 5 5 5 5 , Epoch:69, Support: 703
5 5 5 5 5 5 5 5 , Epoch:72, Support: 1092
5 5 5 5 5 5 5 5 5 5 , Epoch:15, Support: 1092
5 6 6 6 6 6 , Epoch:56, Support: 4
5 6 6 6 6 6 6 , Epoch:55, Support: 4
5 6 6 6 6 6 6 6 , Epoch:54, Support: 4
5 6 6 6 6 6 6 6 6 , Epoch:53, Support: 4
5 7 7 7 7 7 7 7 , Epoch:13, Support: 10
5 7 7 7 7 7 7 7 7 , Epoch:12, Support: 10
