2 2 2 2 2 2 , Epoch:4, Support: 1076
2 2 2 2 2 2 2 2 2 , Epoch:1, Support: 88
2 2 6 , Epoch:7, Support: 6
2 6 2 , Epoch:7, Support: 6
2 6 6 , Epoch:7, Support: 6
2 8 8 8 8 8 , Epoch:2, Support: 66
2 8 8 8 8 8 8 , Epoch:1, Support: 66
7 7 7 , Epoch:7, Support: 1455
7 7 7 7 , Epoch:6, Support: 1035
7 7 7 7 7 , Epoch:5, Support: 495
8 2 2 8 8 8 , Epoch:2, Support: 66
8 2 8 8 8 8 , Epoch:2, Support: 66
8 8 2 8 8 8 , Epoch:2, Support: 66
8 8 8 8 8 8 , Epoch:2, Support: 1848
10 10 10 10 10 10 10 , Epoch:3, Support: 125
