1 1 1 1 1 , Epoch:5, Support: 1760
1 6 6 6 , Epoch:6, Support: 14
1 6 6 6 6 , Epoch:5, Support: 14
2 2 2 2 1 1 1 1 1 , Epoch:1, Support: 6
2 2 2 2 1 1 2 1 1 , Epoch:1, Support: 6
2 2 2 2 1 2 1 1 1 , Epoch:1, Support: 6
2 2 2 2 1 2 2 1 1 , Epoch:1, Support: 6
2 2 2 2 2 1 1 1 1 , Epoch:1, Support: 6
2 2 2 2 2 1 2 1 1 , Epoch:1, Support: 6
2 2 2 2 2 2 1 1 1 , Epoch:1, Support: 6
2 2 2 2 2 2 2 1 1 , Epoch:1, Support: 6
2 6 6 6 , Epoch:6, Support: 12
2 6 6 6 6 , Epoch:5, Support: 12
5 5 5 5 5 5 5 5 5 , Epoch:0, Support: 165
5 5 8 , Epoch:7, Support: 8
6 1 1 1 , Epoch:6, Support: 14
6 1 1 6 , Epoch:6, Support: 14
6 1 6 1 , Epoch:6, Support: 14
6 1 6 6 , Epoch:6, Support: 14
6 2 6 6 , Epoch:6, Support: 12
6 6 1 1 , Epoch:6, Support: 14
6 6 1 6 , Epoch:6, Support: 14
6 6 5 5 , Epoch:6, Support: 40
6 6 5 6 , Epoch:6, Support: 40
6 6 6 1 , Epoch:6, Support: 14
6 6 6 5 , Epoch:6, Support: 40
6 6 6 6 , Epoch:6, Support: 4396
9 5 5 , Epoch:7, Support: 34
9 5 9 , Epoch:7, Support: 34
9 9 5 , Epoch:7, Support: 34
9 9 9 , Epoch:7, Support: 2310
10 10 6 6 6 6 , Epoch:4, Support: 4
10 10 6 6 6 10 , Epoch:4, Support: 4
10 10 6 6 10 6 , Epoch:4, Support: 4
10 10 6 6 10 10 , Epoch:4, Support: 4
10 10 6 10 6 6 , Epoch:4, Support: 4
10 10 6 10 6 10 , Epoch:4, Support: 4
10 10 6 10 10 6 , Epoch:4, Support: 4
10 10 6 10 10 10 , Epoch:4, Support: 4
10 10 10 6 6 6 , Epoch:4, Support: 4
10 10 10 6 6 10 , Epoch:4, Support: 4
10 10 10 6 10 6 , Epoch:4, Support: 4
10 10 10 6 10 10 , Epoch:4, Support: 4
10 10 10 9 9 9 , Epoch:4, Support: 8
10 10 10 9 9 10 , Epoch:4, Support: 8
10 10 10 9 10 9 , Epoch:4, Support: 8
10 10 10 9 10 10 , Epoch:4, Support: 8
10 10 10 10 5 5 , Epoch:4, Support: 24
10 10 10 10 5 10 , Epoch:4, Support: 24
10 10 10 10 6 6 , Epoch:4, Support: 4
10 10 10 10 6 10 , Epoch:4, Support: 4
10 10 10 10 9 9 , Epoch:4, Support: 8
10 10 10 10 9 10 , Epoch:4, Support: 8
10 10 10 10 10 5 , Epoch:4, Support: 24
10 10 10 10 10 6 , Epoch:4, Support: 4
10 10 10 10 10 9 , Epoch:4, Support: 8
10 10 10 10 10 10 , Epoch:4, Support: 3738
10 10 10 10 10 10 5 5 , Epoch:2, Support: 21
10 10 10 10 10 10 5 10 , Epoch:2, Support: 21
10 10 10 10 10 10 10 5 , Epoch:2, Support: 21
10 10 10 10 10 10 10 8 , Epoch:2, Support: 16
10 10 10 10 10 10 10 10 , Epoch:2, Support: 3473
