1 1 1 1 , Epoch:53, Support: 80
1 1 1 1 , Epoch:61, Support: 465
1 1 1 1 1 , Epoch:6, Support: 29
1 1 1 1 1 1 1 1 , Epoch:15, Support: 6
1 1 1 1 1 1 1 1 1 , Epoch:19, Support: 560
1 1 2 , Epoch:21, Support: 9
1 1 2 , Epoch:62, Support: 4
1 1 5 , Epoch:62, Support: 4
1 2 2 , Epoch:21, Support: 9
1 2 2 , Epoch:62, Support: 4
1 2 2 2 , Epoch:61, Support: 4
1 5 5 , Epoch:62, Support: 4
2 1 1 1 1 1 1 2 , Epoch:16, Support: 8
2 1 1 1 1 1 2 2 , Epoch:16, Support: 8
2 1 1 1 1 2 2 2 , Epoch:16, Support: 8
2 1 1 1 2 2 2 2 , Epoch:16, Support: 8
2 1 1 2 1 1 1 2 , Epoch:16, Support: 8
2 1 1 2 2 2 2 2 , Epoch:16, Support: 8
2 1 2 , Epoch:62, Support: 4
2 1 2 1 1 1 1 2 , Epoch:16, Support: 8
2 1 2 1 1 1 2 2 , Epoch:16, Support: 8
2 1 2 1 1 2 1 2 , Epoch:16, Support: 8
2 1 2 1 1 2 2 2 , Epoch:16, Support: 8
2 1 2 1 2 1 1 2 , Epoch:16, Support: 8
2 1 2 2 2 2 2 2 , Epoch:16, Support: 8
2 2 1 1 1 1 1 2 , Epoch:16, Support: 8
2 2 1 1 1 1 2 2 , Epoch:16, Support: 8
2 2 1 1 1 2 1 2 , Epoch:16, Support: 8
2 2 1 1 1 2 2 2 , Epoch:16, Support: 8
2 2 1 1 2 1 1 2 , Epoch:16, Support: 8
2 2 1 1 2 1 2 2 , Epoch:16, Support: 8
2 2 1 1 2 2 2 2 , Epoch:16, Support: 8
2 2 1 2 1 1 1 2 , Epoch:16, Support: 8
2 2 1 2 1 1 2 2 , Epoch:16, Support: 8
2 2 1 2 1 2 1 2 , Epoch:16, Support: 8
2 2 1 2 1 2 2 2 , Epoch:16, Support: 8
2 2 1 2 2 1 1 2 , Epoch:16, Support: 8
2 2 1 2 2 1 2 2 , Epoch:16, Support: 8
2 2 1 2 2 2 2 2 , Epoch:16, Support: 8
2 2 2 , Epoch:62, Support: 1144
2 2 2 1 1 1 1 2 , Epoch:16, Support: 8
2 2 2 1 1 1 2 2 , Epoch:16, Support: 8
2 2 2 1 1 2 1 2 , Epoch:16, Support: 8
2 2 2 1 1 2 2 2 , Epoch:16, Support: 8
2 2 2 1 2 1 1 2 , Epoch:16, Support: 8
2 2 2 1 2 1 2 2 , Epoch:16, Support: 8
2 2 2 1 2 2 1 2 , Epoch:16, Support: 8
2 2 2 1 2 2 2 2 , Epoch:16, Support: 8
2 2 2 2 , Epoch:9, Support: 2145
2 2 2 2 1 1 1 2 , Epoch:16, Support: 8
2 2 2 2 1 1 2 2 , Epoch:16, Support: 8
2 2 2 2 1 2 1 2 , Epoch:16, Support: 8
2 2 2 2 1 2 2 2 , Epoch:16, Support: 8
2 2 2 2 2 , Epoch:30, Support: 264
2 2 2 2 2 1 1 2 , Epoch:16, Support: 8
2 2 2 2 2 1 2 2 , Epoch:16, Support: 8
2 2 2 2 2 2 , Epoch:11, Support: 27
2 2 2 2 2 2 1 2 , Epoch:16, Support: 8
2 2 2 2 2 2 2 2 , Epoch:16, Support: 896
2 2 2 2 2 2 2 2 2 , Epoch:22, Support: 672
2 2 2 2 2 2 2 2 2 2 , Epoch:52, Support: 20
2 10 10 10 10 10 10 10 10 10 10 10 10 , Epoch:38, Support: 4
2 10 10 10 10 10 10 10 10 10 10 10 10 10 , Epoch:37, Support: 4
3 3 3 3 , Epoch:13, Support: 928
3 3 3 3 3 3 3 3 3 , Epoch:24, Support: 72
4 4 4 4 4 , Epoch:40, Support: 7
4 4 4 4 4 , Epoch:51, Support: 156
4 4 4 4 4 4 , Epoch:59, Support: 194
4 4 4 4 4 4 4 4 , Epoch:12, Support: 1216
4 4 4 4 4 4 4 4 , Epoch:57, Support: 160
4 4 4 4 4 4 4 4 4 , Epoch:7, Support: 231
4 4 4 4 4 4 4 4 4 4 , Epoch:4, Support: 36
4 4 4 4 10 10 10 10 10 10 10 , Epoch:27, Support: 8
4 4 4 10 10 10 10 10 10 10 10 , Epoch:27, Support: 4
4 4 10 4 10 10 10 10 10 10 10 , Epoch:27, Support: 4
4 4 10 10 10 10 10 10 10 10 10 , Epoch:27, Support: 4
4 5 5 5 5 5 5 5 , Epoch:34, Support: 4
4 10 10 10 10 10 10 , Epoch:31, Support: 7
4 10 10 10 10 10 10 10 , Epoch:30, Support: 15
4 10 10 10 10 10 10 10 10 , Epoch:29, Support: 8
4 10 10 10 10 10 10 10 10 10 , Epoch:28, Support: 8
5 5 5 5 5 , Epoch:0, Support: 58
5 5 5 5 5 , Epoch:43, Support: 1378
5 5 5 5 5 , Epoch:60, Support: 672
5 5 5 5 5 5 , Epoch:14, Support: 875
5 5 5 5 5 5 5 , Epoch:26, Support: 1085
5 5 5 5 5 5 5 , Epoch:35, Support: 1521
5 5 5 5 5 5 5 5 , Epoch:25, Support: 667
5 5 5 5 5 5 5 5 5 5 , Epoch:1, Support: 135
5 5 5 5 5 5 5 5 5 5 , Epoch:45, Support: 1120
6 6 6 , Epoch:32, Support: 228
6 6 6 6 6 6 , Epoch:5, Support: 792
6 6 6 6 6 6 6 , Epoch:34, Support: 28
6 6 6 6 6 6 6 6 6 , Epoch:56, Support: 260
6 6 6 6 6 6 6 6 6 6 , Epoch:37, Support: 272
7 7 7 , Epoch:49, Support: 307
7 7 7 7 7 7 , Epoch:46, Support: 147
7 7 7 7 7 7 7 , Epoch:50, Support: 629
7 7 7 7 7 7 7 7 , Epoch:10, Support: 120
8 8 8 8 , Epoch:48, Support: 624
8 8 8 8 8 8 , Epoch:44, Support: 510
8 8 8 8 8 8 8 8 8 , Epoch:3, Support: 1026
8 8 8 8 8 8 8 8 8 , Epoch:55, Support: 1118
9 9 4 4 4 4 4 4 4 4 , Epoch:21, Support: 4
9 9 4 4 4 4 4 4 9 4 , Epoch:21, Support: 4
9 9 4 4 4 4 4 9 4 4 , Epoch:21, Support: 4
9 9 4 4 4 4 4 9 9 4 , Epoch:21, Support: 4
9 9 4 4 4 4 9 4 4 4 , Epoch:21, Support: 4
9 9 4 4 4 4 9 4 9 4 , Epoch:21, Support: 4
9 9 4 4 4 4 9 9 4 4 , Epoch:21, Support: 4
9 9 4 4 4 4 9 9 9 4 , Epoch:21, Support: 4
9 9 4 4 4 9 4 4 4 4 , Epoch:21, Support: 4
9 9 4 4 4 9 4 4 9 4 , Epoch:21, Support: 4
9 9 4 4 4 9 4 9 4 4 , Epoch:21, Support: 4
9 9 4 4 4 9 4 9 9 4 , Epoch:21, Support: 4
9 9 4 4 4 9 9 4 4 4 , Epoch:21, Support: 4
9 9 4 4 4 9 9 4 9 4 , Epoch:21, Support: 4
9 9 4 4 4 9 9 9 4 4 , Epoch:21, Support: 4
9 9 4 4 4 9 9 9 9 4 , Epoch:21, Support: 4
9 9 4 4 9 4 4 4 4 4 , Epoch:21, Support: 4
9 9 4 4 9 4 4 4 9 4 , Epoch:21, Support: 4
9 9 4 4 9 4 4 9 4 4 , Epoch:21, Support: 4
9 9 4 4 9 4 4 9 9 4 , Epoch:21, Support: 4
9 9 4 4 9 4 9 4 4 4 , Epoch:21, Support: 4
9 9 4 4 9 4 9 4 9 4 , Epoch:21, Support: 4
9 9 4 4 9 4 9 9 4 4 , Epoch:21, Support: 4
9 9 4 4 9 4 9 9 9 4 , Epoch:21, Support: 4
9 9 4 4 9 9 4 4 4 4 , Epoch:21, Support: 4
9 9 4 4 9 9 4 4 9 4 , Epoch:21, Support: 4
9 9 4 4 9 9 9 4 4 4 , Epoch:21, Support: 4
9 9 4 4 9 9 9 4 9 4 , Epoch:21, Support: 4
9 9 4 4 9 9 9 9 4 4 , Epoch:21, Support: 4
9 9 4 4 9 9 9 9 9 4 , Epoch:21, Support: 4
9 9 4 9 4 4 4 4 4 4 , Epoch:21, Support: 4
9 9 4 9 4 4 4 4 9 4 , Epoch:21, Support: 4
9 9 4 9 4 4 4 9 4 4 , Epoch:21, Support: 4
9 9 4 9 4 4 4 9 9 4 , Epoch:21, Support: 4
9 9 4 9 4 4 9 4 4 4 , Epoch:21, Support: 4
9 9 4 9 4 4 9 4 9 4 , Epoch:21, Support: 4
9 9 4 9 4 4 9 9 4 4 , Epoch:21, Support: 4
9 9 4 9 4 4 9 9 9 4 , Epoch:21, Support: 4
9 9 4 9 4 9 4 4 4 4 , Epoch:21, Support: 4
9 9 4 9 4 9 4 4 9 4 , Epoch:21, Support: 4
9 9 4 9 4 9 4 9 4 4 , Epoch:21, Support: 4
9 9 4 9 4 9 4 9 9 4 , Epoch:21, Support: 4
9 9 4 9 4 9 9 4 4 4 , Epoch:21, Support: 4
9 9 4 9 4 9 9 4 9 4 , Epoch:21, Support: 4
9 9 4 9 4 9 9 9 4 4 , Epoch:21, Support: 4
9 9 4 9 4 9 9 9 9 4 , Epoch:21, Support: 4
9 9 4 9 9 4 4 4 4 4 , Epoch:21, Support: 4
9 9 4 9 9 4 4 4 9 4 , Epoch:21, Support: 4
9 9 4 9 9 4 4 9 4 4 , Epoch:21, Support: 4
9 9 4 9 9 4 4 9 9 4 , Epoch:21, Support: 4
9 9 4 9 9 4 9 4 4 4 , Epoch:21, Support: 4
9 9 4 9 9 4 9 4 9 4 , Epoch:21, Support: 4
9 9 4 9 9 4 9 9 4 4 , Epoch:21, Support: 4
9 9 4 9 9 9 9 4 4 4 , Epoch:21, Support: 4
9 9 4 9 9 9 9 4 9 4 , Epoch:21, Support: 4
9 9 4 9 9 9 9 9 4 4 , Epoch:21, Support: 4
9 9 4 9 9 9 9 9 9 4 , Epoch:21, Support: 4
9 9 9 , Epoch:8, Support: 688
9 9 9 4 4 4 4 4 4 4 , Epoch:21, Support: 4
9 9 9 4 4 4 4 4 9 4 , Epoch:21, Support: 4
9 9 9 4 4 4 4 9 4 4 , Epoch:21, Support: 4
9 9 9 4 4 4 4 9 9 4 , Epoch:21, Support: 4
9 9 9 4 4 4 9 4 4 4 , Epoch:21, Support: 4
9 9 9 4 4 4 9 4 9 4 , Epoch:21, Support: 4
9 9 9 4 4 4 9 9 4 4 , Epoch:21, Support: 4
9 9 9 4 4 4 9 9 9 4 , Epoch:21, Support: 4
9 9 9 4 4 9 4 4 4 4 , Epoch:21, Support: 4
9 9 9 4 4 9 4 4 9 4 , Epoch:21, Support: 4
9 9 9 4 4 9 4 9 4 4 , Epoch:21, Support: 4
9 9 9 4 4 9 4 9 9 4 , Epoch:21, Support: 4
9 9 9 4 4 9 9 4 4 4 , Epoch:21, Support: 4
9 9 9 4 4 9 9 4 9 4 , Epoch:21, Support: 4
9 9 9 4 4 9 9 9 4 4 , Epoch:21, Support: 4
9 9 9 4 4 9 9 9 9 4 , Epoch:21, Support: 4
9 9 9 4 9 4 4 4 4 4 , Epoch:21, Support: 4
9 9 9 4 9 4 4 4 9 4 , Epoch:21, Support: 4
9 9 9 4 9 4 4 9 4 4 , Epoch:21, Support: 4
9 9 9 4 9 4 4 9 9 4 , Epoch:21, Support: 4
9 9 9 4 9 4 9 4 4 4 , Epoch:21, Support: 4
9 9 9 4 9 4 9 4 9 4 , Epoch:21, Support: 4
9 9 9 4 9 4 9 9 4 4 , Epoch:21, Support: 4
9 9 9 4 9 4 9 9 9 4 , Epoch:21, Support: 4
9 9 9 4 9 9 4 4 4 4 , Epoch:21, Support: 4
9 9 9 4 9 9 4 4 9 4 , Epoch:21, Support: 4
9 9 9 4 9 9 4 9 4 4 , Epoch:21, Support: 4
9 9 9 4 9 9 4 9 9 4 , Epoch:21, Support: 4
9 9 9 4 9 9 9 4 4 4 , Epoch:21, Support: 4
9 9 9 4 9 9 9 4 9 4 , Epoch:21, Support: 4
9 9 9 4 9 9 9 9 4 4 , Epoch:21, Support: 4
9 9 9 4 9 9 9 9 9 4 , Epoch:21, Support: 4
9 9 9 9 4 4 4 4 4 4 , Epoch:21, Support: 4
9 9 9 9 4 4 4 4 9 4 , Epoch:21, Support: 4
9 9 9 9 4 4 4 9 4 4 , Epoch:21, Support: 4
9 9 9 9 4 4 4 9 9 4 , Epoch:21, Support: 4
9 9 9 9 4 4 9 4 4 4 , Epoch:21, Support: 4
9 9 9 9 4 4 9 4 9 4 , Epoch:21, Support: 4
9 9 9 9 4 4 9 9 4 4 , Epoch:21, Support: 4
9 9 9 9 4 4 9 9 9 4 , Epoch:21, Support: 4
9 9 9 9 4 9 4 4 4 4 , Epoch:21, Support: 4
9 9 9 9 4 9 4 4 9 4 , Epoch:21, Support: 4
9 9 9 9 4 9 4 9 4 4 , Epoch:21, Support: 4
9 9 9 9 4 9 4 9 9 4 , Epoch:21, Support: 4
9 9 9 9 4 9 9 4 4 4 , Epoch:21, Support: 4
9 9 9 9 4 9 9 4 9 4 , Epoch:21, Support: 4
9 9 9 9 4 9 9 9 4 4 , Epoch:21, Support: 4
9 9 9 9 4 9 9 9 9 4 , Epoch:21, Support: 4
9 9 9 9 5 5 5 5 5 , Epoch:39, Support: 6
9 9 9 9 5 5 5 9 5 , Epoch:39, Support: 6
9 9 9 9 5 5 9 5 5 , Epoch:39, Support: 6
9 9 9 9 5 5 9 9 5 , Epoch:39, Support: 6
9 9 9 9 5 9 5 5 5 , Epoch:39, Support: 6
9 9 9 9 5 9 5 9 5 , Epoch:39, Support: 6
9 9 9 9 5 9 9 5 5 , Epoch:39, Support: 6
9 9 9 9 5 9 9 9 5 , Epoch:39, Support: 6
9 9 9 9 9 4 4 4 4 4 , Epoch:21, Support: 4
9 9 9 9 9 4 4 4 9 4 , Epoch:21, Support: 4
